time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA
2500,0,0,38,8,104,882,1152,660
2505,0,0,24,14,94,917,1139,667
2510,0,0,30,8,99,928,1162,656
2515,0,0,20,15,110,908,1140,678
2520,0,0,28,9,117,946,1178,640
2525,0,0,31,14,109,904,1117,705
2530,0,0,26,10,113,977,1166,640
2535,0,0,27,19,92,888,1100,704
2540,0,0,25,13,86,939,1160,636
2545,0,0,24,14,103,888,1113,690
2550,0,0,28,9,100,936,1153,651
2555,0,0,23,14,107,876,1118,671
2560,0,0,26,9,104,927,1131,651
2565,0,0,28,15,111,889,1110,658
2570,0,0,33,10,108,920,1153,623
2575,0,0,28,16,120,873,1132,646
2580,0,0,31,10,114,927,1181,606
2585,0,0,25,14,113,845,1116,670
2590,0,0,25,10,121,924,1148,642
2595,0,0,27,11,107,899,1116,673
2600,0,0,28,11,97,926,1137,649
2605,0,0,27,17,105,930,1147,650
2610,0,0,27,10,130,908,1141,654
2615,0,0,24,10,125,875,1122,671
2620,0,0,28,6,114,923,1149,644
2625,0,0,18,9,122,898,1131,652
2630,0,0,21,9,122,898,1122,643
2635,0,0,23,9,111,913,1127,637
2640,0,0,22,4,110,899,1120,653
2645,0,0,31,8,96,912,1125,645
2650,0,0,22,12,111,927,1147,627
2655,0,0,21,8,109,857,1092,672
2660,0,0,20,12,109,940,1147,619
2665,0,0,29,9,131,874,1087,680
2670,0,0,28,6,128,970,1154,618
2675,0,0,24,9,117,886,1079,696
2680,0,0,18,11,133,947,1169,605
2685,0,0,20,12,118,864,1075,706
2690,0,0,26,12,107,989,1180,618
2695,0,0,26,9,118,885,1105,688
2700,0,0,26,5,133,929,1146,634
2705,0,0,16,18,110,880,1114,656
2710,0,0,29,9,113,921,1129,639
2715,0,0,22,10,123,861,1096,653
2720,0,0,30,6,112,910,1135,622
2725,0,0,16,7,130,895,1099,647
2730,0,0,18,9,118,898,1123,621
2735,0,0,20,13,128,871,1094,653
2740,0,0,29,13,111,906,1133,608
2745,0,0,33,10,102,887,1068,680
2750,0,0,26,15,109,953,1126,625
2755,0,0,31,17,107,892,1072,669
2760,0,0,31,23,112,908,1112,620
2765,0,0,28,17,113,894,1089,638
2770,0,0,29,15,121,894,1097,628
2775,0,0,30,18,104,893,1069,660
2780,0,0,30,13,96,934,1107,629
2785,0,0,30,19,108,891,1066,669
2790,0,0,27,8,114,965,1108,644
2795,0,0,17,11,106,925,1111,647
2800,0,0,28,9,100,923,1087,678
2805,0,0,17,14,99,939,1131,628
2810,0,0,27,9,107,882,1105,653
2815,0,0,25,12,113,926,1119,638
2820,0,0,25,10,112,883,1092,656
2825,0,0,26,9,121,927,1163,589
2830,0,0,35,12,116,810,1058,683
2835,0,0,25,18,113,930,1151,581
2840,0,0,45,13,111,846,1053,686
2845,0,0,32,12,119,964,1126,618
2850,0,0,35,8,108,925,1089,670
2855,0,0,22,20,99,940,1128,627
2860,0,0,33,14,111,907,1108,645
2865,0,0,24,13,108,915,1109,656
2870,0,0,26,8,107,939,1141,613
2875,0,0,22,10,104,904,1132,648
2880,0,0,24,8,105,878,1100,677
2885,0,0,20,10,105,911,1124,631
2890,0,0,24,7,111,891,1089,653
2895,0,0,29,9,117,912,1113,630
2900,0,0,17,10,119,891,1117,613
2905,0,0,28,10,101,873,1090,641
2910,0,0,13,20,104,849,1072,632
2915,0,0,33,12,116,903,1075,627
2920,0,0,24,10,110,938,1123,592
2925,0,0,20,15,114,839,1054,665
2930,0,0,23,9,130,923,1115,598
2935,0,0,23,17,122,884,1079,645
2940,0,0,33,6,122,940,1089,651
2945,0,0,17,8,141,908,1083,655
2950,0,0,24,8,124,951,1112,628
2955,0,0,23,6,118,909,1102,642
2960,0,0,19,11,113,902,1089,663
2965,0,0,28,11,97,943,1103,648
2970,0,0,28,15,107,946,1107,661
2975,0,0,26,11,90,920,1082,671
2980,0,0,24,9,93,930,1096,648
2985,0,0,18,13,114,930,1076,673
2990,0,0,36,13,114,944,1103,638
2995,0,0,34,17,106,904,1091,651
3000,0,0,28,18,108,954,1119,633
3005,0,0,34,12,119,935,1125,645
3010,0,0,34,19,104,929,1131,657
3015,0,0,37,17,90,946,1145,646
3020,0,0,34,11,101,904,1104,689
3025,0,0,21,19,106,971,1171,621
3030,0,0,26,18,95,877,1079,706
3035,0,0,34,11,110,965,1160,622
3040,0,0,25,11,116,896,1093,692
3045,0,0,26,5,122,961,1128,641
3050,0,0,19,14,111,904,1114,657
3055,0,0,26,8,111,950,1124,642
3060,0,0,31,13,129,909,1071,682
3065,0,0,19,10,129,991,1126,628
3070,0,0,25,16,121,910,1076,679
3075,0,0,26,10,120,981,1132,629
3080,0,0,21,13,127,928,1115,664
3085,0,0,29,21,103,926,1146,641
3090,0,0,33,6,107,903,1125,661
3095,0,0,29,11,105,910,1119,661
3100,0,0,33,14,110,916,1120,661
3105,0,0,25,14,101,907,1108,667
3110,0,0,16,11,110,972,1130,657
3115,0,0,19,7,122,925,1099,680
3120,0,0,18,19,117,955,1131,649
3125,0,0,29,9,114,919,1107,658
3130,0,0,29,9,121,916,1100,669
3135,0,0,24,10,107,949,1109,651
3140,0,0,27,14,102,935,1094,671
3145,0,0,31,11,99,962,1100,663
3150,0,0,27,11,89,933,1084,674
3155,0,0,33,11,106,960,1118,647
3160,0,0,27,17,97,920,1088,668
3165,0,0,27,18,100,968,1107,636
3170,0,0,22,14,121,904,1056,680
3175,0,0,34,10,110,991,1121,606
3180,0,0,25,17,121,919,1034,693
3185,0,0,34,12,112,976,1115,608
3190,0,0,24,18,114,866,1066,670
3195,0,0,39,17,110,944,1157,595
3200,0,0,28,10,121,869,1049,697
3205,0,0,30,14,117,936,1132,614
3210,0,0,25,15,107,882,1094,658
3215,0,0,30,9,119,883,1099,640
3220,0,0,28,9,114,889,1097,641
3225,0,0,23,9,108,881,1090,644
3230,0,0,30,10,109,912,1100,650
3235,0,0,25,14,107,913,1122,618
3240,0,0,31,8,104,879,1055,679
3245,0,0,12,12,110,932,1109,614
3250,0,0,27,9,111,851,1037,690
3255,0,0,26,14,116,962,1157,573
3260,0,0,27,19,110,863,1079,670
3265,0,0,35,13,110,913,1147,613
3270,0,0,34,12,124,840,1076,668
3275,0,0,28,15,119,935,1123,620
3280,0,0,32,12,121,896,1084,653
3285,0,0,26,11,124,933,1093,643
3290,0,0,26,16,123,916,1127,608
3295,0,0,25,11,131,861,1060,675
3300,0,0,20,10,125,928,1115,606
3305,0,0,21,14,115,891,1091,649
3310,0,0,29,7,125,892,1103,638
3315,0,0,17,8,121,879,1107,637
3320,0,0,27,7,124,891,1105,635
3325,0,0,25,11,126,910,1099,629
3330,0,0,32,11,112,894,1073,652
3335,0,0,29,12,122,921,1107,620
3340,0,0,35,13,112,921,1100,642
3345,0,0,32,11,129,925,1110,636
3350,0,0,26,14,120,911,1098,662
3355,0,0,38,10,123,944,1128,636
3360,0,0,32,9,103,902,1099,670
3365,0,0,18,12,109,944,1131,635
3370,0,0,23,14,111,904,1094,680
3375,0,0,20,12,111,963,1131,655
3380,0,0,20,14,103,934,1138,651
3385,0,0,34,8,115,898,1093,688
3390,0,0,30,14,118,963,1129,656
3395,0,0,24,13,129,927,1106,681
3400,0,0,24,11,115,960,1137,660
3405,0,0,29,10,116,935,1116,693
3410,0,0,25,13,112,936,1121,676
3415,0,0,25,4,124,945,1134,652
3420,0,0,19,13,128,910,1106,682
3425,0,0,25,9,123,964,1130,664
3430,0,0,27,19,104,925,1126,667
3435,0,0,29,12,115,906,1131,656
3440,0,0,25,8,124,919,1141,660
3445,0,0,25,14,109,915,1147,661
3450,0,0,33,12,121,919,1161,653
3455,0,0,35,10,99,915,1143,676
3460,0,0,22,7,108,950,1180,644
3465,0,0,20,9,117,901,1150,661
3470,0,0,24,13,107,921,1177,632
3475,0,0,22,10,122,886,1163,646
3480,0,0,30,8,105,903,1138,673
3485,0,0,29,11,110,903,1146,665
3490,0,0,24,16,120,892,1142,673
3495,0,0,30,5,129,917,1157,645
3500,0,0,22,18,117,881,1124,656
3505,0,0,31,5,114,914,1128,655
3510,0,0,23,14,120,909,1151,632
3515,0,0,20,9,119,887,1108,664
3520,0,0,28,11,112,933,1167,609
3525,0,0,22,12,117,873,1120,660
3530,0,0,29,12,110,914,1150,627
3535,0,0,25,8,112,857,1086,694
3540,0,0,23,11,112,950,1169,623
3545,0,0,24,9,101,840,1085,698
3550,0,0,28,9,103,945,1158,614
3555,0,0,18,15,107,855,1070,701
3560,0,0,25,14,104,959,1167,609
3565,0,0,28,18,123,879,1095,683
3570,0,0,23,12,120,941,1139,650
3575,0,0,29,12,123,908,1086,701
3580,0,0,25,13,126,955,1150,638
3585,0,0,24,14,119,888,1093,703
3590,0,0,32,8,114,953,1132,655
3595,0,0,28,10,120,928,1115,686
3600,0,0,19,19,116,943,1154,659
3605,0,0,26,10,114,913,1144,667
3610,0,0,21,10,102,953,1170,642
3615,0,0,21,6,97,909,1109,697
3620,0,0,30,10,103,942,1156,643
3625,0,0,25,13,103,916,1137,680
3630,0,0,27,8,116,931,1172,643
3635,0,0,22,10,115,871,1112,692
3640,0,0,24,14,114,930,1142,649
3645,0,0,30,8,119,897,1104,678
