time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA
2500,0,0,55,26,83,824,1227,656
2505,0,0,61,33,87,877,1262,634
2510,0,0,61,23,75,859,1241,662
2515,0,0,59,36,67,867,1252,635
2520,0,0,67,30,64,863,1230,661
2525,0,0,67,26,64,902,1278,626
2530,0,0,64,27,77,845,1232,686
2535,0,0,66,33,71,889,1258,674
2540,0,0,69,27,74,897,1270,671
2545,0,0,61,33,81,873,1277,666
2550,0,0,66,27,84,869,1294,647
2555,0,0,59,26,71,875,1292,662
2560,0,0,63,23,75,845,1291,664
2565,0,0,60,20,73,864,1317,646
2570,0,0,66,30,76,847,1299,669
2575,0,0,61,30,58,877,1320,650
2580,0,0,59,24,78,875,1304,667
2585,0,0,55,25,75,865,1293,670
2590,0,0,60,12,85,866,1268,682
2595,0,0,49,30,75,889,1324,643
2600,0,0,59,22,75,852,1309,660
2605,0,0,60,26,71,862,1298,671
2610,0,0,61,24,79,852,1295,666
2615,0,0,58,28,80,865,1306,653
2620,0,0,56,30,79,819,1249,701
2625,0,0,62,26,65,903,1330,617
2630,0,0,54,32,73,838,1276,671
2635,0,0,54,30,76,900,1306,656
2640,0,0,61,30,83,877,1298,687
2645,0,0,49,25,80,863,1308,673
2650,0,0,42,31,82,858,1314,664
2655,0,0,58,26,85,844,1278,683
2660,0,0,54,30,94,873,1292,653
2665,0,0,55,28,80,893,1302,654
2670,0,0,66,30,67,846,1287,675
2675,0,0,68,26,94,872,1302,657
2680,0,0,63,30,93,869,1256,706
2685,0,0,59,31,94,919,1327,639
2690,0,0,67,22,73,869,1302,677
2695,0,0,68,31,72,870,1320,661
2700,0,0,63,31,75,833,1297,678
2705,0,0,64,30,69,859,1350,612
2710,0,0,78,28,72,822,1266,712
2715,0,0,61,22,73,914,1366,622
2720,0,0,52,27,75,835,1297,699
2725,0,0,58,28,69,869,1330,655
2730,0,0,58,26,62,826,1279,689
2735,0,0,51,31,71,860,1321,632
2740,0,0,57,27,65,836,1274,676
2745,0,0,59,29,76,879,1348,622
2750,0,0,55,30,67,820,1320,656
2755,0,0,60,25,75,842,1343,629
2760,0,0,55,13,76,811,1287,683
2765,0,0,36,27,76,825,1282,673
2770,0,0,54,14,86,859,1301,642
2775,0,0,45,27,68,826,1264,678
2780,0,0,56,22,85,892,1311,634
2785,0,0,59,24,64,869,1299,651
2790,0,0,55,16,69,844,1285,673
2795,0,0,58,23,78,868,1318,645
2800,0,0,66,23,85,832,1275,686
2805,0,0,49,32,78,855,1302,653
2810,0,0,58,33,80,872,1286,672
2815,0,0,58,19,97,820,1250,691
2820,0,0,68,29,82,880,1299,644
2825,0,0,55,36,95,843,1259,683
2830,0,0,65,29,94,878,1300,644
2835,0,0,61,27,65,861,1262,682
2840,0,0,70,24,58,857,1254,680
2845,0,0,64,33,73,873,1292,639
2850,0,0,58,29,72,832,1261,660
2855,0,0,56,28,72,863,1302,626
2860,0,0,48,31,76,833,1286,648
2865,0,0,56,14,72,860,1256,672
2870,0,0,36,32,74,863,1279,649
2875,0,0,54,23,73,872,1247,680
2880,0,0,59,29,70,903,1306,630
2885,0,0,54,28,72,843,1257,675
2890,0,0,60,30,68,884,1333,608
2895,0,0,59,26,85,816,1260,689
2900,0,0,58,24,73,892,1320,635
2905,0,0,56,30,65,836,1287,678
2910,0,0,65,19,75,877,1316,635
2915,0,0,49,32,66,828,1271,690
2920,0,0,51,24,77,876,1299,653
2925,0,0,61,16,91,861,1299,652
2930,0,0,45,22,80,868,1312,661
2935,0,0,49,27,80,860,1324,648
2940,0,0,64,19,72,841,1308,670
2945,0,0,55,29,79,821,1303,673
2950,0,0,71,19,70,864,1309,666
2955,0,0,45,32,65,859,1327,659
2960,0,0,51,29,68,829,1305,677
2965,0,0,66,22,75,878,1307,672
2970,0,0,51,32,73,873,1322,657
2975,0,0,53,33,77,829,1294,664
2980,0,0,63,29,75,858,1298,661
2985,0,0,61,30,77,867,1299,658
2990,0,0,63,16,84,872,1303,644
2995,0,0,52,25,76,847,1252,688
3000,0,0,56,26,63,884,1294,649
3005,0,0,42,28,81,831,1254,680
3010,0,0,59,22,88,863,1256,671
3015,0,0,53,27,87,847,1263,660
3020,0,0,71,25,79,859,1256,654
3025,0,0,54,30,68,872,1263,647
3030,0,0,70,26,61,855,1240,663
3035,0,0,78,24,58,885,1268,630
3040,0,0,57,27,67,834,1205,683
3045,0,0,51,22,73,893,1265,631
3050,0,0,56,25,83,876,1238,669
3055,0,0,61,33,76,874,1224,670
3060,0,0,71,22,72,897,1253,636
